Dis No,Year,Disaster Type,Disaster Subtype,Country,Region,Continent,Associated Dis,Associated Dis2,Dis Mag Value,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,"Total Damages, Adjusted ('000 US$)",CPI
2018-0310-IRN,2018,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,2,255,10000,3000,13255,,92.6696698
2018-0426-IRN,2018,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,716,,,716,10791,92.6696698
2018-0154-MMR,2018,Mass movement (dry),Landslide,Myanmar,South-Eastern Asia,Asia,,,,17,,,,,,92.6696698
2019-0085-IDN,2019,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,5,,48,1715,,1763,,94.3490925
2019-0109-IDN,2019,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,9,45,1250,,1295,,94.3490925
2019-0162-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,25,282,15273,,15555,52995,94.3490925
2021-0225-BTN,2021,Earthquake,Ground movement,Bhutan,Southern Asia,Asia,,,6,,2,500,,502,,100
2022-0027-AFG,2022,Earthquake,Ground movement,Afghanistan,Southern Asia,Asia,,,5,28,4,,4000,4004,,
2019-0334-IDN,2019,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,7,8,134,5790,5880,11804,,94.3490925
2019-0377-IDN,2019,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,6,4,2100,,2104,,94.3490925
2019-0451-IDN,2019,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,31,179,247239,,247418,,94.3490925
2019-0299-IRN,2019,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,1,100,,2000,2100,,94.3490925
2019-0553-IRN,2019,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,6,584,22500,,23084,95390,94.3490925
2019-0460-PAK,2019,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,,,6,39,746,129652,,130398,18018,94.3490925
2019-0356-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,,52,9525,,9577,,94.3490925
2019-0362-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,9,64,2963,,3027,5573,94.3490925
2019-0489-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,6,7,215,3068,,3283,,94.3490925
2019-0522-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,10,395,25630,,26025,,94.3490925
2019-0529-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,23,417,260286,,260703,,94.3490925
2019-0619-PHL,2019,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,14,210,394355,,394565,,94.3490925
2020-0225-IDN,2020,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,,1490,70,1560,,95.51296742
2020-0073-IRN,2020,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,75,15000,,15075,,95.51296742
2020-0370-PHL,2020,Earthquake,Ground movement,Philippines (the),South-Eastern Asia,Asia,,,7,1,20,4255,705,4980,2617,95.51296742
2021-0003-IDN,2021,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,"Slide (land, mud, snow, rock)",,6,110,826,99827,,100653,58700,100
2021-0654-PAK,2021,Earthquake,Ground movement,Pakistan,Southern Asia,Asia,"Slide (land, mud, snow, rock)",,6,21,300,63800,,64100,,100
2021-0323-IDN,2021,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,Tsunami/Tidal wave,,6,,,750,,750,,100
2021-0200-IDN,2021,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,9,39,5520,420,5979,,100
2021-0720-IDN,2021,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,5,3,82,2620,1830,4532,,100
2021-0801-IDN,2021,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,,7,1730,,1737,,100
2021-0225-IND,2021,Earthquake,Ground movement,India,Southern Asia,Asia,,,6,2,10,3000,,3010,,100
2021-0095-IRN,2021,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,2,63,24291,,24354,10000,100
2021-0215-IRN,2021,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,,6,3537,,3543,,100
2021-0738-IRN,2021,Earthquake,Ground movement,Iran (Islamic Republic of),Southern Asia,Asia,,,6,1,104,36484,,36588,165000,100
2021-0829-LAO,2021,Earthquake,Ground movement,Lao People's Democratic Republic (the),South-Eastern Asia,Asia,,,6,,,,,,120,100
2022-0012-IDN,2022,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,,2,300,,302,,
2022-0042-IDN,2022,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,7,,1975,13415,,15390,,
2022-0115-IDN,2022,Earthquake,Ground movement,Indonesia,South-Eastern Asia,Asia,,,6,15,388,24000,515,24903,,
